Model,City,Year,Mileage,FuelType,Transmission,Color,Assembly,EngineCapacity,Price
Alto,Islamabad,2015,1 - 165000,Petrol,Automatic,Black,Imported,660,1850000 - 2689999
Alto,Islamabad,2020,1 - 165000,Petrol,Automatic,Pearl White,Imported,660,3530000 - 4369999
Alto,Islamabad,2021,1 - 165000,Petrol,Automatic,Black,Imported,660,2690000 - 3529999
Alto,Islamabad,2021,1 - 165000,Petrol,Automatic,Black,Imported,660,2690000 - 3529999
Alto,Islamabad,2021,1 - 165000,Petrol,Automatic,White,Imported,660,2690000 - 3529999
Alto,Islamabad,2021,1 - 165000,Petrol,Manual,White,Local,660,1850000 - 2689999
Alto,Karachi,2019,1 - 165000,Petrol,Automatic,White,Local,660,1850000 - 2689999
Alto,Karachi,2020,1 - 165000,Petrol,Automatic,Silver,Imported,660,2690000 - 3529999
Alto,Karachi,2020,1 - 165000,Petrol,Automatic,Black,Imported,660,2690000 - 3529999
Alto,Karachi,2020,1 - 165000,Petrol,Automatic,White,Imported,660,2690000 - 3529999
Alto,Karachi,2020,1 - 165000,Petrol,Manual,Solid White,Local,660,1850000 - 2689999
Alto,Lahore,2014,1 - 165000,Petrol,Automatic,White,Imported,660,1850000 - 2689999
Alto,Lahore,2015,1 - 165000,Petrol,Automatic,Dark Pearl Maroon,Imported,660,1850000 - 2689999
Alto,Lahore,2020,1 - 165000,Petrol,Automatic,White,Imported,660,3530000 - 4369999
Alto,Rawalpindi,2020,1 - 165000,Petrol,Automatic,Red,Imported,660,2690000 - 3529999
Alto F,Islamabad,2015,1 - 165000,Petrol,Automatic,Pure Red,Imported,660,1850000 - 2689999
Alto F,Islamabad,2018,1 - 165000,Petrol,Automatic,Black,Imported,660,2690000 - 3529999
Alto F,Karachi,2018,1 - 165000,Petrol,Automatic,White,Imported,660,2690000 - 3529999
Alto F,Karachi,2020,1 - 165000,Petrol,Automatic,White,Imported,660,2690000 - 3529999
Alto L,Islamabad,2016,1 - 165000,Petrol,Automatic,White,Imported,660,1850000 - 2689999
Alto L,Islamabad,2016,1 - 165000,Petrol,Automatic,Turquoise,Imported,660,2690000 - 3529999
